"色号","HEX 色值","色号","HEX 色值","色号","HEX 色值"
"D1","#d1d1ff","E1","#ffffff","F1","#ff7f50"
"D2","#a3a3ff","E2","#ffd9d9","F2","#ff4d4d"
"D3","#7373ff","E3","#ffcce6","F3","#ff3333"
"D4","#4444ff","E4","#ffb3cc","F4","#ff1a1a"
"D5","#b366ff","E5","#ff99b3","F5","#ff0000"
"D6","#cc80ff","E6","#ff8099","F6","#cc0000"
"D7","#e699ff","E7","#ff6680","F7","#b30000"
"D8","#f2b3ff","E8","#ffccd9","F8","#ff6633"
"D9","#f5ccff","E9","#ffb3e6","F9","#e65c3c"
"D10","#9933cc","E10","#ff99cc","F10","#cc5233"
"D11","#aa44dd","E11","#ff80b3","F11","#b3482d"
"D12","#ffb3d9","E12","#ff6699","F12","#993e26"
"D13","#ff66b3","E13","#ff4d80","F13","#803420"
"D14","#e64d99","E14","#ffd9cc","F14","#ffcccc"
"D15","#cc3380","E15","#ffccb3","F15","#ff0033"
"D16","#e6ccff","E16","#ffbf99","F16","#ffd9cc"
"D17","#d9b3ff","E17","#ffb380","F17","#ffccb3"
"D18","#cc99ff","E18","#ffa666","F18","#ffbf99"
"D19","#bf80ff","E19","#ff994d","F19","#ffb380"
"D20","#b366ff","E20","#d9b3b3","F20","#d9b3a6"
"D21","#a64dff","E21","#cc9999","F21","#cc998c"
"D22","#3333cc","E22","#b38080","F22","#ffd9d9"
"D23","#4444dd","E23","#996666","F23","#ffcccc"
"D24","#5555ee","E24","#cc99cc","F24","#ffb3b3"
"D25","#6666ff","E25","#ff8066","F25","#ff9999"
"D26","#f2e6ff","","","",""
